id,country_id,name
CDOV,AG,International Business Corporation
F0A6,AR,Sociedad Anonima
HZ6C,AR,Sociedad Cooperativa
WUAZ,AR,Sociedad Anonima Unipersonal
CRL9,AW,Stichting
CYW2,AW,Vennootschap onder firma
GAJN,AW,Commanditaire vennootschap (1)
M27U,AW,Besloten vennootschap
OLAI,AW,Vereniging
P65N,AW,Naamloze vennootschap
PCRJ,AW,Cooperatieve vereniging
PT6C,AW,Eenmanszaak
REUP,AW,Aruba vrijgestelde vennootschap
T5RL,AW,Vennootschap buitenlands recht
UV8T,AW,Maatschap
V905,AW,Vennootschap met beperkte aansprakelijkheid
YCV2,AW,Commanditaire vennootschap (1+)
6W6X,AU,Co-operative
7TPC,AU,Trust
ADXG,AU,Fund
BC38,AU,Incorporated association
J4JC,AU,Limited Partnership
LZFR,AU,Public Company limited by guarantee
PQHL,AU,No Liability Company
Q82Q,AU,Unlimited Proprietary Company
R4KK,AU,Public Company limited by shares
TXVC,AU,Limited Proprietary Company
XHCV,AU,Indigenous Corporation
1NOX,AT,Sonstiger Rechtsträger
5WWO,AT,Privatstiftung
69H1,AT,Europäische Genossenschaft (SCE)
8XDW,AT,Genossenschaft
AAL7,AT,Kommandit-Erwerbsgesellschaft
AXSB,AT,Gesellschaft mit beschränkter Haftung
CAQ1,AT,Versicherungsverein auf Gegenseitigkeit
DM88,AT,Europäische wirtschaftliche Interessenvereinigung
DX6Z,AT,Verein
E9OX,AT,Gemeinnützige Stiftung
ECWU,AT,Einzelunternehmer
EQOV,AT,Aktiengesellschaft
G3R6,AT,Einzelkaufmann
GVPD,AT,Offene Handelsgesellschaft
JJYT,AT,Körperschaft öffentlichen Rechts
JQOI,AT,Sparkasse
JTAV,AT,Offene Gesellschaft
JUHG,AT,Offene Erwerbsgesellschaft
NIJH,AT,Erwerbs- und Wirtschaftsgenossenschaft
NNLI,AT,stille Gesellschaft
O65B,AT,Europäische Gesellschaft (SE)
ONF1,AT,Kommanditgesellschaft
UI81,AT,Gesellschaft des bürgerlichen Rechts
52TH,AZ,Törəmə təsərrüfat cəmiyyəti
6JHZ,AZ,Məhdud məsuliyyətli cəmiyyəti
DWEA,AZ,Kooperativlər
HKL3,AZ,Əlavə məsuliyyətli cəmiyyət
K81Q,AZ,Açıq səhmdar cəmiyyəti
M4LU,AZ,Qapalı səhmdar cəmiyyəti
MEJT,AZ,Tam ortaqlıq
PITR,AZ,Hüquqi şəxslərin ittifaqları
SLXJ,AZ,Asılı təsərrüfat cəmiyyəti
TD56,AZ,Komandit ortaqlıq
U0SP,AZ,İctimai birliklər
ZD74,AZ,Fondlar
1W6I,BS,Limited Liability Partnership
78QF,BS,Partnership
98A8,BS,Company Limited by Shares
A9N4,BS,International Business Company
DAEG,BS,Unlimited Liability Company
HNSU,BS,Public Company Limited by Shares
HP0B,BS,Company Limited both by Shares and by Guarantee
PB7W,BS,Company Limited by Guarantee
PICJ,BS,Non-Profit Company
SQ8U,BS,Exempted Limited Partnership
VVOW,BS,Foundation
XDKS,BS,Sole Proprietor
2T7B,BB,society with restricted liability
5IL6,BB,sole proprietorship
7FCS,BB,partnership
EKJG,BB,segregated cell company
HTBY,BB,company
KYFD,BB,non-profit company
Q9Y1,BB,international business company
T4KB,BB,association
TEPY,BB,public company
X2X1,BB,limited partnership
106J,BY,Zakrytae akcyyanernae tavarystva
106J,BY,Zakrytoe akcionernoe obshchestvo
9X63,BY,Unіtarnae pradpryemstva
9X63,BY,Unitarnoe predpriyatie
AABD,BY,Tavarystva z abmezhavanaj adkaznascyu
AABD,BY,Obshchestvo s ogranichennoj otvetstvennost'yu
JLR3,BY,Tavarystva z dadatkovaj adkaznascyu
JLR3,BY,Obshchestvo s dopolnitel'noj otvetstvennost'yu
MR85,BY,Adkrytae akcyyanernae tavarystva
MR85,BY,Otkrytoe akcionernoe obshchestvo
1TX8,BE,Commanditaire vennootschap op aandelen met een sociaal oogmerk
1TX8,BE,Société en commandite par actions à finalité sociale
1TX8,BE,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung
28FE,BE,Coöperatieve vennootschap
28FE,BE,Société coopérative
28FE,BE,Genossenschaft
2QSA,BE,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk
2QSA,BE,Société coopérative à responsabilité limitée à finalité sociale
2QSA,BE,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung
36KV,BE,Europese vennootschap (Societas Europaea)
36KV,BE,Société européenne (Societas Europaea)
36KV,BE,Europäische Gesellschaft (Societas Europaea)
3LMA,BE,Buitenlandse onderneming
3LMA,BE,Entreprise étrangère
3LMA,BE,Ausländische Gesellschaft
3N94,BE,Onderneming-natuurlijk persoon
3N94,BE,Entreprise personne physique
3N94,BE,Unternehmen natürliche Person
3W7E,BE,Besloten Vennootschap
3W7E,BE,Société à responsabilité limitée
3W7E,BE,Gesellschaft mit beschränkter Haftung
4E5P,BE,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk
4E5P,BE,Société coopérative à responsabilité illimitée à finalité sociale
